County, FIPS,Value_Index
"Modoc County, California",6049,0.7715
"Mono County, California",6051,0.4223
"Monterey County, California",6053,0.845
"Napa County, California",6055,0.6209
"Nevada County, California",6057,0.2164
"Orange County, California",6059,0.5621
"Placer County, California",6061,0.1782
"Plumas County, California",6063,0.3972
"Riverside County, California",6065,0.8297
"Sacramento County, California",6067,0.7673
"San Benito County, California",6069,0.5738
"San Bernardino County, California",6071,0.9058
"San Diego County, California",6073,0.6989
"San Francisco County, California",6075,0.4322
"San Joaquin County, California",6077,0.8864
"San Luis Obispo County, California",6079,0.4465
"San Mateo County, California",6081,0.2638
"Santa Barbara County, California",6083,0.8364
"Santa Clara County, California",6085,0.3714
"Santa Cruz County, California",6087,0.6139
"Shasta County, California",6089,0.7451
"Sierra County, California",6091,0.281
"Siskiyou County, California",6093,0.7492
"Solano County, California",6095,0.6311
"Sonoma County, California",6097,0.5076
"Stanislaus County, California",6099,0.8498
"Sutter County, California",6101,0.8619
"Tehama County, California",6103,0.9287
"Trinity County, California",6105,0.8612
"Tulare County, California",6107,0.9344
"Tuolumne County, California",6109,0.5961
"Ventura County, California",6111,0.6073
"Yolo County, California",6113,0.7307
"Yuba County, California",6115,0.9147
"Adams County, Colorado",8001,0.6894
"Alamosa County, Colorado",8003,0.9806
"Arapahoe County, Colorado",8005,0.4131
"Archuleta County, Colorado",8007,0.2836
"Baca County, Colorado",8009,0.5522
"Bent County, Colorado",8011,0.8119
"Boulder County, Colorado",8013,0.212
"Broomfield County, Colorado",8014,0.0691
"Chaffee County, Colorado",8015,0.6203
"Cheyenne County, Colorado",8017,0.0608
"Clear Creek County, Colorado",8019,0.1381
"Conejos County, Colorado",8021,0.8915
"Costilla County, Colorado",8023,0.9163
"Crowley County, Colorado",8025,0.824
"Custer County, Colorado",8027,0.0557
"Delta County, Colorado",8029,0.7327
"Denver County, Colorado",8031,0.5821
"Dolores County, Colorado",8033,0.0627
"Douglas County, Colorado",8035,0.0248
"Eagle County, Colorado",8037,0.3561
"Elbert County, Colorado",8039,0.001
"El Paso County, Colorado",8041,0.4895
"Fremont County, Colorado",8043,0.6197
"Garfield County, Colorado",8045,0.5716
"Gilpin County, Colorado",8047,0.0146
"Grand County, Colorado",8049,0.1881
"Gunnison County, Colorado",8051,0.1868
"Hinsdale County, Colorado",8053,0.2603
"Huerfano County, Colorado",8055,0.4188
"Jackson County, Colorado",8057,0.2257
"Jefferson County, Colorado",8059,0.1076
"Kiowa County, Colorado",8061,0.1292
"Kit Carson County, Colorado",8063,0.6658
"Lake County, Colorado",8065,0.4481
"La Plata County, Colorado",8067,0.2527
"Larimer County, Colorado",8069,0.1833
"Las Animas County, Colorado",8071,0.8326
"Lincoln County, Colorado",8073,0.5029
"Logan County, Colorado",8075,0.6595
"Mesa County, Colorado",8077,0.6833
"Mineral County, Colorado",8079,0.0754
"Moffat County, Colorado",8081,0.8087
"Montezuma County, Colorado",8083,0.5299
"Montrose County, Colorado",8085,0.5363
"Morgan County, Colorado",8087,0.8418
"Otero County, Colorado",8089,0.8886
"Ouray County, Colorado",8091,0.0274
"Park County, Colorado",8093,0.0169
"Phillips County, Colorado",8095,0.4332
"Pitkin County, Colorado",8097,0.1458
"Prowers County, Colorado",8099,0.9612
"Pueblo County, Colorado",8101,0.8587
"Rio Blanco County, Colorado",8103,0.4812
"Rio Grande County, Colorado",8105,0.9408
"Routt County, Colorado",8107,0.1066
"Saguache County, Colorado",8109,0.8052
"San Juan County, Colorado",8111,0.4204
"San Miguel County, Colorado",8113,0.1595
"Sedgwick County, Colorado",8115,0.8125
"Summit County, Colorado",8117,0.1996
"Teller County, Colorado",8119,0.1038
"Washington County, Colorado",8121,0.2422
"Weld County, Colorado",8123,0.6111
"Yuma County, Colorado",8125,0.4917
"Fairfield County, Connecticut",9001,0.6184
"Hartford County, Connecticut",9003,0.5955
"Litchfield County, Connecticut",9005,0.1512
"Middlesex County, Connecticut",9007,0.1843
"New Haven County, Connecticut",9009,0.6512
"New London County, Connecticut",9011,0.3959
"Tolland County, Connecticut",9013,0.1073
"Windham County, Connecticut",9015,0.4799
"Kent County, Delaware",10001,0.8444
"New Castle County, Delaware",10003,0.4733
"Sussex County, Delaware",10005,0.4898
District of Columbia,11001,0.6502
"Alachua County, Florida",12001,0.6334
"Baker County, Florida",12003,0.437
"Bay County, Florida",12005,0.733
"Bradford County, Florida",12007,0.8982
"Brevard County, Florida",12009,0.4707
"Broward County, Florida",12011,0.7826
"Calhoun County, Florida",12013,0.7362
"Charlotte County, Florida",12015,0.6168
"Citrus County, Florida",12017,0.5388
"Clay County, Florida",12019,0.3908
"Collier County, Florida",12021,0.647
"Columbia County, Florida",12023,0.8947
"DeSoto County, Florida",12027,0.994
"Dixie County, Florida",12029,0.767
"Duval County, Florida",12031,0.7973
"Escambia County, Florida",12033,0.7502
"Flagler County, Florida",12035,0.3491
"Franklin County, Florida",12037,0.9071
"Gadsden County, Florida",12039,0.9726
"Gilchrist County, Florida",12041,0.8157
"Glades County, Florida",12043,0.8921
"Gulf County, Florida",12045,0.6719
"Hamilton County, Florida",12047,0.9799
"Hardee County, Florida",12049,0.9618
"Hendry County, Florida",12051,0.9959
"Hernando County, Florida",12053,0.6645
"Highlands County, Florida",12055,0.8466
"Hillsborough County, Florida",12057,0.7906
"Holmes County, Florida",12059,0.8625
"Indian River County, Florida",12061,0.521
"Jackson County, Florida",12063,0.8991
"Jefferson County, Florida",12065,0.6687
"Lafayette County, Florida",12067,0.796
"Lake County, Florida",12069,0.6779
"Lee County, Florida",12071,0.7209
"Leon County, Florida",12073,0.6588
"Levy County, Florida",12075,0.774
"Liberty County, Florida",12077,0.7062
"Madison County, Florida",12079,0.915
